datetime;temperature;humidity;pressure;magnetic;wind
2008-10-16, 15:00;10;66;729;Геомагнитное поле спокойное;Ветер северо-западный 7-12 м/с
2008-10-17, 09:00;2;74;740;Геомагнитное поле спокойное;Ветер северо-западный 5-10 м/с
2008-10-17, 15:00;5;50;742;Геомагнитное поле спокойное;Ветер северо-западный 3-8 м/с
2008-10-18, 09:00;1;85;748;Геомагнитное поле спокойное;Ветер тихо
2008-10-18, 15:00;6;61;749;Геомагнитное поле спокойное;Ветер юго-восточный 2-5 м/с
2008-10-19, 09:00;-1;89;750;Геомагнитное поле спокойное;Ветер переменных направлений, слабый
2008-10-19, 15:00;7;59;749;Геомагнитное поле спокойное;Ветер южный 4-9 м/с
2008-10-20, 09:00;0;96;744;Геомагнитное поле спокойное;Ветер южный 3-5 м/с
2008-10-20, 15:00;3;86;743;Геомагнитное поле спокойное;Ветер южный 3-6 м/с
2008-10-21, 09:00;4;91;741;Геомагнитное поле спокойное;Ветер южный 2-5 м/с
2008-10-21, 15:00;7;75;741;Геомагнитное поле спокойное;Ветер юго-восточный 2-5 м/с
2008-10-22, 09:00;1;98;742;Геомагнитное поле спокойное;Ветер северо-западный 1-2 м/с
2008-10-22, 15:00;6;75;744;Геомагнитное поле спокойное;Ветер западный 2-4 м/с
2008-10-23, 09:00;2;89;746;Геомагнитное поле спокойное;Ветер юго-западный 1-3
2008-10-23, 15:00;7;63;746;Геомагнитное поле спокойное;Ветер юго-западный 4 м/с
2008-10-24, 09:00;4;90;748;Геомагнитное поле спокойное;Ветер юго-западный 2м/с
2008-10-24, 15:00;8;75;748;Геомагнитное поле спокойное;Ветер южный 2-4 м/с
2008-10-25, 09:00;5;78;744;Геомагнитное поле спокойное;Ветер юго-западный 1-5м/с
2008-10-25, 14:00;6;64;747;Геомагнитное поле спокойное;Ветер северо-западный 4-10 м/с
2008-10-26, 10:00;0;82;751;Геомагнитное поле спокойное;Ветер северо-западный 2-6м/с
2008-10-26, 14:00;6;53;750;Геомагнитное поле спокойное;Ветер северо-западный 2-6 м/с
2008-10-27, 08:00;3;76;746;Геомагнитное поле спокойное;Ветер юго-западный 3-7м/с
2008-10-27, 14:00;10;40;743;Геомагнитное поле спокойное;Ветер западный 4-7м/с
2008-10-28, 08:00;0;88;745;Геомагнитное поле спокойное;Ветер юго-западный 3м/с
2008-10-28, 14:00;10;47;746;Геомагнитное поле неустойчивое;Ветер западный 2-6 м/с
2008-10-29, 08:00;0;64;748;Геомагнитное поле спокойное;Ветер южный 1-3 м/с
2008-10-29, 14:00;12;31;747;Геомагнитное поле неустойчивое;Ветер западный 3-6 м/с
2008-10-30, 08:00;2;72;750;Геомагнитное поле неустойчивое;Ветер западный 2-5 м/с
2008-10-30, 14:00;9;52;752;Геомагнитное поле спокойное;Ветер северо-западный 2-8 м/с
2008-10-31, 08:00;1;88;752;Геомагнитное поле спокойное;Ветер юго-западный 1-4м/с
2008-10-31, 14:00;12;37;752;Геомагнитное поле спокойное;Ветер западный  5 м/с
2008-11-01, 08:00;0;76;750;Геомагнитное поле спокойное;Ветер южный 1-4м/с
2008-11-01, 14:00;14;35;748;Геомагнитное поле спокойное;Ветер юго-западный 1-3 м/с
2008-11-02, 08:00;6;82;744;Геомагнитное поле спокойное;Ветер юго-западный 2-5м/с
2008-11-02, 14:00;9;65;743;Геомагнитное поле спокойное;Ветер северо-западный 3-8 м/с
2008-11-03, 08:00;6;82;738;Геомагнитное поле спокойное;Ветер южный 2-5м/с
2008-11-03, 14:00;7;60;735;Геомагнитное поле спокойное;Ветер южный 3-9 м/с
2008-11-04, 08:00;3;76;737;Геомагнитное поле спокойное;Ветер западный 2-7 м/с
2008-11-04, 14:00;4;62;738;Геомагнитное поле спокойное;Ветер западный 5 м/с
2008-11-05, 08:00;-1;82;737;Геомагнитное поле спокойное;Ветер южный 1-5м/с
2008-11-05, 14:00;1;70;737;Геомагнитное поле спокойное;Ветер северо-западный 3-7 м/с
2008-11-06, 08:00;1;77;728;Геомагнитное поле спокойное;Ветер юго-западный 3-8м/с
2008-11-06, 13:00;3;59;729;Геомагнитное поле спокойное;Ветер западный 2-6 м/с
2008-11-07, 08:00;-2;92;730;Геомагнитное поле неустойчивое;Ветер северо-западный 1-4м/с
2008-11-07, 14:00;-2;66;734;Геомагнитное поле неустойчивое;Ветер северо-западный 5-8 м/с
2008-11-08, 08:00;-8;90;740;Геомагнитное поле неустойчивое;Ветер северо-западный1-6м/с
2008-11-08, 14:00;-4;58;741;Геомагнитное поле спокойное;Ветер западный 5 м/с
2008-11-09, 08:00;-6;92;747;Геомагнитное поле спокойное;Ветер западный 1-4м/с
2008-11-09, 14:00;-2;62;747;Геомагнитное поле спокойное;Ветер северо-западный 2-7 м/с
